大数据研发工程师（YBSY）,首都信息发展股份有限公司,通州,本科,2万-3万,5-10年,国企,1000-9999人,全职,http://jobs.zhaopin.com/CC000103760J40608284507.htm
大数据分析师,中思创新(北京)科技有限公司,昌平,本科,8千-1.6万,经验不限,其它,300-499人,全职,http://jobs.zhaopin.com/CCL1479243980J40557738911.htm
大数据算法工程师,北京博兴高科科技有限公司,西城,本科,1万-2万,3-5年,民营,20-99人,全职,http://jobs.zhaopin.com/CC241059080J40584498703.htm
大数据销售+底薪6000元/月，一对一带教,北京链家置地房地产经纪有限公司,昌平,本科,6千-7千,经验不限,民营,10000人以上,全职,http://jobs.zhaopin.com/CC252944430J40307892416.htm
跨境网络案件大数据分析师,国开青旅集团有限公司,朝阳,学历不限,1.1万-2.2万,经验不限,股份制企业,100-299人,全职,http://jobs.zhaopin.com/CCL1357405410J40539932213.htm
AI+大数据软件B端销售（可小白、提成高）,探迹科技,朝阳,大专,1.5万-2.6万,经验不限,民营,1000-9999人,全职,http://jobs.zhaopin.com/CC406882580J40584192802.htm
管培生+线上大数据+上市公司+大平台,北京链家置地房地产经纪有限公司,西城,本科,1.2万-1.5万,经验不限,民营,10000人以上,全职,http://jobs.zhaopin.com/CC252944430J40313588316.htm
交通大数据方向科研助理,北京交研都市交通科技有限公司,大兴,本科,7千-1万,经验不限,其它,20-99人,全职,http://jobs.zhaopin.com/CCL1200582950J00251011709.htm
营销管培生,中国通信建设第五工程局有限公司,西城,本科,1万-1.5万,经验不限,国企,300-499人,全职,http://jobs.zhaopin.com/CC712870880J40442975206.htm
大数据开发工程师,广东英才直聘企业管理有限公司,昌平,大专,1.2万-1.6万,1-3年,,20人以下,全职,http://jobs.zhaopin.com/CCL1483945140J40593707009.htm
大数据销售顾问,哈尔滨中招国联科技有限公司,海淀,大专,6千-1万,1-3年,民营,100-299人,全职,http://jobs.zhaopin.com/CC253209780J40550508909.htm
人工智能大数据分析平台工程师,国开青旅集团有限公司,朝阳,本科,2.5万-3.5万,经验不限,股份制企业,100-299人,全职,http://jobs.zhaopin.com/CCL1357405410J40542182313.htm
产品拓展顾问（大数据产品）,北京明易达科技股份有限公司,,大专,1.5万-2万,5-10年,民营,100-299人,全职,http://jobs.zhaopin.com/CC288033010J40427922201.htm
知识产权大数据,北京航天情报与信息研究所,海淀,本科,1万-1.5万,无经验,事业单位,500-999人,校园,http://jobs.zhaopin.com/CC352240820J40567315616.htm
Python大数据分析特训营课程/培训招生bj,51Testing,朝阳,大专,8千-1.2万,经验不限,民营,100-299人,全职,http://jobs.zhaopin.com/CC145362720J40353541102.htm
AI&大数据分析岗位,山东东明石化集团有限公司,丰台,硕士,1.2万-2.4万,经验不限,民营,1000-9999人,全职,http://jobs.zhaopin.com/CC171215710J40569955515.htm
大客户销售（产业园区/大数据方向）,探迹科技,朝阳,大专,1.5万-2.5万,3-5年,民营,1000-9999人,全职,http://jobs.zhaopin.com/CC406882580J40581852502.htm
大模型AI数据训练师,上海微创软件股份有限公司,海淀,本科,1万-1.6万,经验不限,合资,10000人以上,全职,http://jobs.zhaopin.com/CC000638920J40507818314.htm
产品实习生（国网商用大数据有限公司）,国网数字科技控股有限公司,东城,本科,100-120/天,无经验,国企,1000-9999人,实习,http://jobs.zhaopin.com/CC346778530J40547745610.htm
大数据领域ka销售经理,蓝象标准(北京)科技有限公司,通州,本科,1.5万-1.6万,3-5年,民营,20-99人,全职,http://jobs.zhaopin.com/CCL1279462150J40479790106.htm
科研助理,北京(海淀)大数据先进技术研究院(北京大数据先进技术研究院),海淀,本科,7千-1.4万,经验不限,事业单位,100-299人,全职,http://jobs.zhaopin.com/CCL1295287630J40350402907.htm
阳光人寿总公司-数据管理部-大数据开发岗(J17094),阳光保险集团,朝阳,本科,面议,经验不限,股份制企业,10000人以上,全职,http://jobs.zhaopin.com/CC120868770J40559640404.htm
销售经理,北京天华星航科技有限公司,海淀,大专,1万-2万,1-3年,民营,100-299人,全职,http://jobs.zhaopin.com/CC183180020J40372230312.htm
大数据运维工程师（央企福利好）,中煤信息,朝阳,本科,1.8万-2.8万,经验不限,民营,100-299人,全职,http://jobs.zhaopin.com/CC375053430J40523501613.htm
大数据/数据库运维（短期1年工作，学信网）,博彦科技承德有限公司,海淀,大专,1.3万-1.4万,3-5年,股份制企业,1000-9999人,全职,http://jobs.zhaopin.com/CC637366030J40559563606.htm
大模型开发工程师,煤炭科学研究总院有限公司,朝阳,本科,1.8万-3.5万,1-3年,国企,10000人以上,全职,http://jobs.zhaopin.com/CCL1390283210J40562704311.htm
